Category,Business Type,Supplier,Country,Main Products,Established Year,Total Employees,Total Estimated Revenue,Export Percentage
Sports & Entertainment,,Hebei SenGu Import&Export Trading Co.Ltd,USA,Artificial Grass Landscape and Sports Turf Artificial Green Wall Hedge,,,,
Sports & Entertainment,Distributor/Wholesaler,Sporting Toys Hobbies,Indonesia,fishing reel fishfinders watersports,2020,10,,100
Sports & Entertainment,,barbellchina,China,fitness products,,,,
Sports & Entertainment,Manufacturer Distributor/Wholesaler,XIAMEN TOP ONE TECHNOLOGY CO. LTD.,China,Mobility Scooter Citycoco Electric Scooter UTV ATV,2013,50,$10 million,100
Telecommunications,Trading Company Distributor/Wholesaler Buying Office,Eteily Technologies India Pvt Ltd,India,RF Antenna Cellular Antenna 5G Antenna IoT LoRa LPWAN GPS-GNSS ANTENNA RF Connectors Cable Assembly RF Cable Connectors Battery Battery Case Holder Electric Vehicle Charger Electric Vehicle Battery BMS PCB Components Modules,2017,50-100,,
Telecommunications,,AOA Technology,India,different type of Industrial ethernet switches,,,,
Telecommunications,Manufacturer Trading Company Distributor/Wholesaler,Guangxi Oplink Co. Ltd,China,Fiber Optical switch,,,,
Textiles & Leather Products,Manufacturer Trading Company,Shandong Yizhi Trading Co. Ltd.,China,Polyester webbing,2016,80+,20 million,40%
Textiles & Leather Products,Manufacturer Distributor/Wholesaler,Jamilta Tex,Pakistan,Terry Towel Products,2023,10,$30M,50%
Textiles & Leather Products,Manufacturer Distributor/Wholesaler,Orbitol Trading,Bangladesh,Jute Bags,2021,15,,
Textiles & Leather Products,Trading Company,Ellebi Manifactures,Italy,Yarn textile fibers,1994,,,90%
Textiles & Leather Products,,China Zhejiang Yiwu Fujian Daily Necessities Co. Ltd.,China,笔袋、化妆包、围裙、围兜、帽子、眼罩,,,,
Textiles & Leather Products,Trading Company Distributor/Wholesaler,Saraamad Tejaarat Vaala,Iran,Leather Rugs Scorpion Venom,2018,11,3000000,89
Textiles & Leather Products,,DE CARPETS,India,Jute Gunny Bags,,,,
Textiles & Leather Products,,hangzhou beiai trade co;ltd,China,knitting fabric textile digital print paper,,,,
Textiles & Leather Products,,Donghai County Ruqing Jewelry Firm,China,,,,,
Textiles & Leather Products,,Shenzhen Kingsun Textile Co. Ltd,China,beach towel Blanket Cushion,,,,
Textiles & Leather Products,Manufacturer,Shaoxing Varo Textile Co. Ltd,China,Polar Fleece,2001,20,US $50 Million,100%
Textiles & Leather Products,Trading Company,PT. Faithful Trade International,Indonesia,Bath towel towels hand towel Bath Mats hotel towel.,2023,2,,
Textiles & Leather Products,Manufacturer,SY Etiket,Republic of Türkiye,woven labels printed labels faux leather labels jacron labels mattress labels cork labels wood,,,,
Timepieces Jewelry Eyewear,Manufacturer Distributor/Wholesaler,Minimalist,Russia,925 Sterling Silver Jewelry,2020,10+,,
Timepieces Jewelry Eyewear,,Shifanas Gem And Jewellery,Sri Lanka,Silver Jewelry,,,,
Tools,,KUPA TOOLS DIŞ TİCARET A.Ş.,Republic of Türkiye,PADLOCK LONG SHACKLE MOTORCYCLE LOCK DRAWER LOCK DOOR CLOSER HYDRAULIC MEASURING TAPE Aluminum,,,,
Tools,,Powertoolequip Indonesia,Indonesia,,,,,
Tools,,Mincon tools,USA,Mining and construction tools,,,,
Tools,Manufacturer Distributor/Wholesaler Buying Office,Anhui Huanmei brush Co.Ltd,China,Street Sweeping brushes gutter broom side brush main broom wafer ring brush strip brush Industrial Sweeping Vegetable Brushes Push Brooms Custom Brushes etc,1995,200-500,,
Toys & Hobbies,,Salwa Marketing,India,Toys Furniture Home Appliances,,,,
Transportation,,ALBION AUTOS BFD LTD - BFD LTD,United Arab Emirates,Cars,,,,
Transportation,Manufacturer,Senada bikes,USA,electric bike electric mountain bike electric scooter,2020,50-100,Below US$1 Million,100%
Transportation,Trading Company,ISLAND MARINE,Indonesia,Outboard Engines,2016,1-5,,50%
Transportation,Manufacturer Trading Company,Buzzyday Enterprises,India,Bicycle,2019,4,,

